lc_width lc_decline phase_offset mag_offset initial_temp cooling_rate lc_length det_length used_length time_span num_sources has_sdss has_psst object_name_in ra_in dec_in object_class_in redshift_in acceptance_radius save_ztf download_ztf download_osc read_local query_tns save_lc read_existing clean_ignore dust_map phase_min phase_max n_walkers n_steps n_cores model late_phase default_err default_decline_g default_decline_r burn_in sigma_clip repeats use_median search_radius reimport_catalog save_catalog use_old Pcc_filter Pcc_filter_alternative neighbors recalculate_nature use_glade best_index max_separation_glade dimmest_glade max_pcc_glade max_distance_glade star_separation star_cut ra_deg dec_deg transient_source object_name ztf_name tns_name object_class redshift color_peak late_color late_color10 late_color20 late_color40 late_color60 first_to_peak_r first_to_peak_g peak_to_last_r peak_to_last_g bright_mjd first_mjd brightest_mag green_brightest red_brightest chi2 host_radius host_separation host_ra host_dec host_Pcc host_magnitude host_magnitude_g host_magnitude_r host_nature photoz photoz_err specz specz_err best_host force_detection save_params classifier plot_output do_observability closest closest_radius closest_separation closest_ra closest_dec closest_Pcc closest_magnitude closest_magnitude_g closest_magnitude_r closest_nature classify include_het pupil_fraction minimum_halflight match_radius_arcsec pcc_pcc_threshold pcc_distance_threshold n_sigma_limit delta_time input_separation input_size input_host_g_r normal_separation deltamag_green deltamag_red hostless redshift_use redshift_label absmag_r absmag_g P_late_AGN P_late_AGN_std P_rapid_slsn_AGN P_rapid_slsn_AGN_std P_rapid_tde_AGN P_rapid_tde_AGN_std P_late_SLSNI P_late_SLSNI_std P_rapid_slsn_SLSNI P_rapid_slsn_SLSNI_std P_rapid_tde_SLSNI P_rapid_tde_SLSNI_std P_late_SLSNII P_late_SLSNII_std P_rapid_slsn_SLSNII P_rapid_slsn_SLSNII_std P_rapid_tde_SLSNII P_rapid_tde_SLSNII_std P_late_SNII P_late_SNII_std P_rapid_slsn_SNII P_rapid_slsn_SNII_std P_rapid_tde_SNII P_rapid_tde_SNII_std P_late_SNIIb P_late_SNIIb_std P_rapid_slsn_SNIIb P_rapid_slsn_SNIIb_std P_rapid_tde_SNIIb P_rapid_tde_SNIIb_std P_late_SNIIn P_late_SNIIn_std P_rapid_slsn_SNIIn P_rapid_slsn_SNIIn_std P_rapid_tde_SNIIn P_rapid_tde_SNIIn_std P_late_SNIa P_late_SNIa_std P_rapid_slsn_SNIa P_rapid_slsn_SNIa_std P_rapid_tde_SNIa P_rapid_tde_SNIa_std P_late_SNIbc P_late_SNIbc_std P_rapid_slsn_SNIbc P_rapid_slsn_SNIbc_std P_rapid_tde_SNIbc P_rapid_tde_SNIbc_std P_late_Star P_late_Star_std P_rapid_slsn_Star P_rapid_slsn_Star_std P_rapid_tde_Star P_rapid_tde_Star_std P_late_TDE P_late_TDE_std P_rapid_slsn_TDE P_rapid_slsn_TDE_std P_rapid_tde_TDE P_rapid_tde_TDE_std MMT_observable Magellan_observable McDonald_observable
-0.09313170340241954 0.26895652155095984 -19.309369490838304 19.38636148387541 6940.091717858155 322.28482235729655 150 65 65 89.956620299723 42 True True 2020mbq 235.063589 25.001341 TDE 0.093 3 True False False True False True True True SFD -200 90 50 70 1 full 40 0.1 0.55 0.37 0.75 2 4 True 1.0 False True True i r 20 False False """""" 60.0 16.0 0.01 1.0 1.0 0.1 235.063589 25.001341 TNS 2020mbq """""" 2020mbq TDE 0.093 -0.2593395953435511 -0.11683805076478393 -0.22555133948478812 -0.19055962076818744 -0.11683805076478393 -0.03791623399577304 28.75318853882468 28.75318853882468 61.20343176089832 61.20343176089832 59031.18981479993 58997.22777780006 18.668060044669623 18.668060044669623 18.865560217914105 2.0405212202023195 0.8497488158759573 0.34169193158380207 235.0636934550945 25.00133415712645 0.0012431351009843938 19.274294258474114 20.349060181126596 19.60613244836092 0.8150000000000001 """""" """""" """""" """""" 0 False True all True False 0 0.8497488158759573 0.34169193158380207 235.0636934550945 25.00133415712645 0.0012431351009843938 19.274294258474114 20.349060181126596 19.60613244836092 0.8150000000000001 True False 0.3 0.7 1.5 0.02 8 3 33.96203699987382 0.34169193158380207 0.8497488158759573 0.7429277327656756 0.4021093353705606 1.6810001364569729 0.7405722304468156 False 0.093 Inputed -19.257409909994497 -19.45491008323898 0.6013907949119217 0.4910400932423802 0.2 0.4 1.4 0.8 0.0 0.0 3.6 1.4966629547095764 2.8 1.469693845669907 11.030753968253968 2.5727921440974693 11.8 2.1354156504062622 9.0 3.286335345030997 1.4 1.019803902718557 0.2 0.4 0.6 0.7999999999999999 0.0 0.0 1.2 0.9797958971132713 0.2 0.4000000000000001 0.0 0.0 0.8 0.4 2.0 1.7888543819998317 1.8001956947162427 0.7486453235709619 15.6 2.416609194718914 8.6 1.6248076809271916 0.6 0.7999999999999999 4.4 1.3564659966250536 0.8 0.4000000000000001 0.0 0.0 6.8 0.9797958971132712 0.8 0.7483314773547883 84.56765954211787 2.961654518823123 55.4 4.923413450036469 73.8 3.867815921162743 """""" """""" """"""
-0.14229232968390942 0.20380199770263713 -11.500846124815135 19.229481536351134 5502.376147025474 366.4759116290032 100 37 37 85.95884260023013 48 True True 2020pj 232.895698316 33.094911147 TDE 0.068 3 True False False True False True True True SFD -200 90 50 70 1 full 40 0.1 0.55 0.37 0.75 2 4 True 1.0 False True True i r 20 False False """""" 60.0 16.0 0.01 1.0 1.0 0.1 232.895698316 33.094911147 TNS 2020pj """""" 2020pj TDE 0.068 -0.014774563833402254 0.14029793144846892 0.02232876855896393 0.06052628456959752 0.14029793144846892 0.22473233720353392 13.686552780666167 13.686552780666167 72.27228981956397 72.27228981956397 58864.51848379988 58850.50952549977 18.51489506392534 18.533961972269065 18.51489506392534 3.985547385619778 0.960299208668271 0.02577236294114576 232.89570383800702 33.09490568350215 0.0003504123232476175 17.3372239407599 18.352033543112277 17.740375175828934 1.0 """""" """""" """""" """""" 0 False True all True False 0 0.960299208668271 0.02577236294114576 232.89570383800702 33.09490568350215 0.0003504123232476175 17.3372239407599 18.352033543112277 17.740375175828934 1.0 True False 0.3 0.7 1.5 0.02 8 3 14.008958300109953 0.02577236294114576 0.960299208668271 0.6116583672833436 0.02683784669247671 -0.18192842915678753 -0.7745198880964068 False 0.068 Inputed -18.916348938043708 -18.897282029699983 4.5709079299397315 1.3498675021881625 2.0 1.6733200530681511 0.4 0.8000000000000002 0.0 0.0 0.2 0.4000000000000001 0.0 0.0 0.2130718954248366 0.39427749064593687 0.4 0.8000000000000002 0.0 0.0 3.5823547656584567 1.098107947599446 4.2 1.16619037896906 8.239338121741856 3.9806840997831108 0.0037245771375050752 0.004713752585365466 0.2 0.4 0.00625 0.0125 2.1944039999843974 1.1734143766077147 1.2 1.1661903789690602 2.667924528301887 1.521338797792459 54.379750395945294 2.569768550913297 64.8 3.1874754901018454 69.10663501352096 4.741473920621593 0.5035866484597389 0.5025114322582149 2.6 1.3564659966250536 4.5798523364353 2.1747819233684016 5.361339072013083 1.8675414240466084 2.4 1.019803902718557 1.0 0.6324555320336759 29.190860715436962 2.7319931595475264 22.0 1.5491933384829668 14.0 1.7888543819998317 """""" """""" """"""
-0.5268852964866815 0.6386579005004117 -7.679941955202802 17.635985051130543 4390.687395651257 1434.5608066231825 51 51 51 7.932989999993879 40 True True 2022cmc 203.68002916666663 33.216816666666666 TDE 1.19325 3 True False False True False True True True SFD -200 90 50 70 1 full 40 0.1 0.55 0.37 0.75 2 4 True 1.0 False True True i r 20 False False """""" 60.0 16.0 0.01 1.0 1.0 0.1 203.68002916666663 33.216816666666666 TNS 2022cmc """""" 2022cmc TDE 1.19325 0.28298614554894286 0.3296657173329294 0.2945326674790252 0.3061611440690477 0.3296657173329294 0.3535034032682205 -5.843498768974102 -5.843498768974102 13.77648876896798 13.77648876896798 59622.43173 59621.4463 18.857834713219013 19.288859839853206 19.05037025638525 5556.933654832467 0.4732545698483659 5.532759294090902 203.679428182928 33.2182689765517 0.05382171218804366 21.176012529660166 22.21666904128194 21.357880456119478 0.595 """""" """""" """""" """""" 0 False True all True False 0 0.4732545698483659 5.532759294090902 203.679428182928 33.2182689765517 0.05382171218804366 21.176012529660166 22.21666904128194 21.357880456119478 0.595 True False 0.3 0.7 1.5 0.02 8 3 0.9854299999933573 5.532759294090902 0.4732545698483659 0.8587885851624613 11.690873467663794 2.927809201428733 2.307510199734228 False 1.19325 Inputed -24.729618886861427 -24.49112930339347 0.2 0.4 0.0 0.0 0.0 0.0 1.873076923076923 1.1244722628070845 2.0 1.2649110640673518 1.8 0.9797958971132712 0.5057692307692307 0.7746826034542628 2.0 1.4142135623730951 0.2 0.4000000000000001 10.849649122807017 1.7162997124586177 17.0 4.857983120596447 15.4 4.029888335921977 2.704390243902439 1.198486453779483 6.4 1.2000000000000002 3.4 1.624807680927192 6.169694875086403 3.6659690099082907 3.2 1.16619037896906 3.2 0.7483314773547882 23.878706689152438 4.49946224615072 20.4 4.079215610874228 19.0 3.687817782917155 23.936191264670658 3.6396480318475355 12.2 2.7856776554368237 10.0 2.5298221281347026 29.882521650534898 5.390629155690706 36.8 4.118252056394802 47.0 6.928203230275507 0.0 0.0 0.0 0.0 0.0 0.0 """""" """""" """"""
-0.13787332986442813 0.354270136972469 -26.0507299747571 17.19236335094722 8926.025269487347 451.36919906963703 112 17 17 83.20074729989574 56 True False 2022dsb 235.5906326 -22.6705799 TDE 0.023 3 True False False True False True True True SFD -200 90 50 70 1 full 40 0.1 0.55 0.37 0.75 2 4 True 1.0 False True True i r 20 False False """""" 60.0 16.0 0.01 1.0 1.0 0.1 235.5906326 -22.6705799 TNS 2022dsb """""" 2022dsb TDE 0.023 -0.49453957122463876 -0.4202907945187313 -0.4767104185709883 -0.45839973392319067 -0.4202907945187313 -0.3801259735095073 -11.867562428096523 -11.867562428096523 95.06830972799226 95.06830972799226 59649.769856 59643.11313 16.217160860490317 18.277413843381957 18.544647351561895 10.713210751996195 4.285322261550933 2.8475540132643227 235.59109179 -22.67124783 0.0009329515491192097 14.551940223455428 18.651391307067872 14.897471308135986 1.0 """""" """""" """""" """""" 1 False True all True False 0 7.272318871474841 0.2991919825456842 235.59055104 -22.67061516 0.0016337399759538407 14.034933772945404 14.868562849235534 14.432696835517884 0.9400000000000001 True False 0.3 0.7 1.5 0.02 8 3 6.656726000001072 2.8475540132643227 4.285322261550933 3.7539199989318863 0.6644900521982549 0.37397746368591456 -3.64717604342591 False 0.023 Inputed -16.509384617682954 -16.776618125862893 2.4 2.0591260281974 1.8 0.7483314773547883 6.8 1.469693845669907 0.0 0.0 0.0 0.0 0.4 0.48989794855663565 0.0 0.0 0.4 0.48989794855663565 3.8 1.469693845669907 9.985434362934361 4.1359581399971415 3.2 1.7204650534085253 6.4 2.0591260281974 0.2 0.4000000000000001 6.8 0.7483314773547883 11.8 2.315167380558045 0.30178571428571427 0.5242273766254755 0.6 0.48989794855663565 1.2 1.1661903789690602 40.48648166023166 5.417760056229042 28.2 4.445222154178573 29.2 2.9257477676655586 12.820892857142857 2.1931540341131854 0.4 0.48989794855663565 3.8 1.7204650534085257 15.405405405405407 2.0502097738703786 2.4 1.019803902718557 6.0 2.0976176963403033 18.4 3.1368774282716245 56.2 4.214261501141095 30.6 2.416609194718915 """""" """""" """"""
-0.08594796548456103 0.21124420999429105 -34.057427886496825 18.592446696064478 6181.356495782138 457.19551713585986 1030 61 61 89.87975699966773 55 True True 2022exr 262.4604624 25.8421643 TDE 0.0955 3 True False False True False True True True SFD -200 90 50 70 1 full 40 0.1 0.55 0.37 0.75 2 4 True 1.0 False True True i r 20 False False """""" 60.0 16.0 0.01 1.0 1.0 0.1 262.4604624 25.8421643 TNS 2022exr """""" 2022exr TDE 0.0955 -0.10913990314404742 0.004455846390850837 -0.08174371367772437 -0.053686785037861284 0.004455846390850837 0.0653822414539249 29.829030196243316 29.829030196243316 60.05072680342442 60.05072680342442 59687.269937 59641.47280090023 17.904688160002177 17.953515230718317 18.119174410349146 12.182853997264758 2.1886875283521747 0.1091236079554265 262.4604584837245 25.84219440649635 0.0017393034955267561 17.27768410928726 18.412156936678887 17.63331411860466 0.99 """""" """""" """""" """""" 0 False True all True False 0 2.1886875283521747 0.1091236079554265 262.4604584837245 25.84219440649635 0.0017393034955267561 17.27768410928726 18.412156936678887 17.63331411860466 0.99 True False 0.3 0.7 1.5 0.02 8 3 45.79713609976898 0.1091236079554265 2.1886875283521747 0.778842818074228 0.04985801149860062 0.4586417059605701 -0.48586029174448697 False 0.0955 Inputed -20.062542503533873 -20.228201683164702 20.054724128245255 4.056970213995673 0.8 0.7483314773547883 10.4 4.8 1.4461456671982986 0.5423195185570963 0.4 0.48989794855663565 3.2 2.5612496949731396 10.173333333333334 3.7184465095580497 4.0 2.5298221281347035 5.0 2.0976176963403033 3.682934609250399 0.46113790110363195 2.0 0.6324555320336759 3.2 1.32664991614216 0.00808080808080808 0.01616161616161616 0.0 0.0 0.0 0.0 6.58107389686337 2.886995818765359 2.2 1.16619037896906 8.4 1.624807680927192 7.106607177969832 1.377385119753046 16.2 2.6381811916545836 21.2 2.4 0.2 0.4 0.2 0.4 0.2 0.4 2.2 1.16619037896906 0.2 0.4000000000000001 0.2 0.4 48.547100379058705 4.814160730514362 74.0 3.63318042491699 48.2 3.1240998703626617 """""" """""" """"""
-0.03972371731241586 0.4873045932436112 -17.27920992552042 22.85057442352628 7302.709464570007 303.7206474406258 34 6 6 76.70880000000034 35 True True D313 214.874116942 52.868436516 TDE 0.3698 3 True False False True False True True True SFD -200 90 50 70 1 full 40 0.1 0.55 0.37 0.75 2 4 True 1.0 False True True i r 20 False False """""" 60.0 16.0 0.01 1.0 1.0 0.1 214.874116942 52.868436516 other D313 """""" """""" """""" """""" -0.31531899108570016 -0.17239680709969818 -0.2815694404102942 -0.24652430344265497 -0.17239680709969818 -0.09263202380827451 0.8174323805912458 0.8174323805912458 75.8913676194091 75.8913676194091 53019.64 53019.64 22.659170930890646 23.38635086792349 22.659170930890646 6.534067231392164 0.8753860004683847 0.03663757159217875 214.87412880516501 52.8684292847411 0.002216332171372626 20.009233310205936 21.84257218180001 20.543090955511033 0.04285714285714286 """""" """""" """""" """""" 0 False True all True False 0 0.8753860004683847 0.03663757159217875 214.87412880516501 52.8684292847411 0.002216332171372626 20.009233310205936 21.84257218180001 20.543090955511033 0.04285714285714286 True False 0.3 0.7 1.5 0.02 8 3 0.0 0.03663757159217875 0.8753860004683847 1.2994812262889752 0.041853047195837524 -1.5437786861234812 -2.1160799753796127 False 0.3698 Inputed -18.55048263680638 -17.823302699773535 23.6 1.4966629547095764 25.0 2.6076809620810604 20.6 2.8 0.0 0.0 1.2 0.7483314773547883 0.8 0.7483314773547883 0.6 0.7999999999999999 1.8 0.7483314773547883 0.6 1.2 8.6 3.0724582991474434 8.2 2.1354156504062622 7.6 1.3564659966250536 1.6 0.4898979485566356 8.6 5.4626001134990645 4.2 0.39999999999999997 0.4 0.48989794855663565 0.4 0.48989794855663565 0.6 0.7999999999999999 9.6 4.715930449020639 17.8 2.4819347291981715 9.4 2.6532998322843198 5.4 0.7999999999999999 6.6 1.9595917942265424 2.4 1.7435595774162693 7.4 2.244994432064365 11.6 4.673328578219168 8.0 2.6076809620810595 42.8 4.445222154178573 18.8 1.5999999999999999 45.8 2.7856776554368237 """""" """""" """"""
-0.037224559708324875 0.9100486094570578 -0.4675850906353707 19.95512652448895 7022.4878092007175 455.98938486259414 46 30 30 89.90715199999977 40 True True PS110jh 242.367817171123 53.6733308805967 TDE 0.1696 3 True False False True False True True True SFD -200 90 50 70 1 full 40 0.1 0.55 0.37 0.75 2 4 True 1.0 False True True i r 20 False False """""" 60.0 16.0 0.01 1.0 1.0 0.1 242.367817171123 53.6733308805967 other PS110jh """""" """""" """""" """""" -0.3319918319156514 -0.2409417274226371 -0.3100816144726579 -0.2876105300648426 -0.2409417274226371 -0.19189670661305414 43.97130859871288 43.97130859871288 45.93584340128689 45.93584340128689 55389.306928000005 55347.400160000005 19.610212486211154 19.610212486211154 19.934097224475405 2.330593368970922 0.35027179541406317 0.04347968955377712 242.3678362144845 53.67333519432505 0.0005479476848168074 20.57544783465117 21.623451030294895 20.95646778549254 0.08499999999999999 """""" """""" """""" """""" 0 False True all True False 0 0.35027179541406317 0.04347968955377712 242.3678362144845 53.67333519432505 0.0005479476848168074 20.57544783465117 21.623451030294895 20.95646778549254 0.08499999999999999 True False 0.3 0.7 1.5 0.02 8 3 41.90676800000074 0.04347968955377712 0.35027179541406317 0.6669832448023563 0.12413128925318959 2.013238544083741 1.0223705610171336 False 0.1696 Inputed -19.525494567901386 -19.849379306165638 0.40074074074074073 0.48929500528289416 1.2 0.7483314773547883 0.8 0.7483314773547883 0.8 0.4 9.6 1.4966629547095762 6.8 2.2271057451320084 1.6045575986170042 1.855080763618478 5.4 1.3564659966250538 0.4 0.48989794855663565 0.0 0.0 3.4 2.0591260281974004 3.8 0.7483314773547882 0.0 0.0 0.8 0.4000000000000001 0.2 0.4 0.0 0.0 0.2 0.4000000000000001 2.4 1.8547236990991407 0.8 1.1661903789690602 31.6 3.200000000000002 21.6 1.7435595774162693 0.0 0.0 2.2 0.7483314773547882 1.2 1.1661903789690602 0.2 0.4000000000000001 11.6 1.0198039027185568 9.8 3.1874754901018454 96.19470166064227 2.3142052343774426 34.0 1.8973665961010275 53.0 2.6076809620810573 """""" """""" """"""
-0.028210816905246728 0.6003360143323129 -15.589963294126164 18.275061432013153 6755.28910829775 593.084926331973 487 91 91 89.16497109986085 48 True False 2020mot 7.806617 85.008879 TDE 0.07 3 True False False True False True True True SFD -200 90 50 70 1 full 40 0.1 0.55 0.37 0.75 2 4 True 1.0 False True True i r 20 False False """""" 60.0 16.0 0.01 1.0 1.0 0.1 7.806617 85.008879 TNS 2020mot """""" 2020mot TDE 0.07 -0.2664153475462214 -0.1919946536931576 -0.24833890392667612 -0.22991335915808975 -0.1919946536931576 -0.15261836129358386 63.24440317668741 63.24440317668741 25.92056792317344 25.92056792317344 59075.140582 59014.39380790014 17.560427783798865 17.880336508953217 18.03061773721858 3.6632614722248342 0.9588835892720765 0.09136547036972872 7.80645786 85.00885773 0.0002083527363150317 16.65408435742855 17.657757089424134 16.979207614398003 0.31 """""" """""" """""" """""" 0 False True all True False 0 0.9588835892720765 0.09136547036972872 7.80645786 85.00885773 0.0002083527363150317 16.65408435742855 17.657757089424134 16.979207614398003 0.31 True False 0.3 0.7 1.5 0.02 8 3 60.746774099861796 0.09136547036972872 0.9588835892720765 0.6785494750261307 0.09528317242251229 -0.2225794195290831 -1.0514101228205774 False 0.07 Inputed -19.464548214372215 -19.61482944263758 5.404159544159544 1.630100937962394 0.2 0.4 0.0 0.0 0.2 0.4000000000000001 1.2 1.4696938456699067 1.2 1.16619037896906 0.20675971538040505 0.39683609822688054 5.2 2.3151673805580453 2.2 1.32664991614216 1.4 1.2 5.4 2.5768197453450252 3.0 1.4142135623730951 0.0 0.0 1.0 0.6324555320336759 0.2 0.4 0.0 0.0 0.0 0.0 0.6 0.7999999999999999 1.4 1.3564659966250536 41.0 5.621387729022079 32.6 2.0591260281974013 0.2 0.4000000000000001 0.8 0.4000000000000001 1.2 0.4000000000000001 0.0 0.0 3.6 2.154065922853802 4.6 1.7435595774162698 91.18908074046004 1.9503850445518174 41.6 2.870540018881465 54.4 1.3564659966250565 """""" """""" """"""
-0.025676917014712117 0.1410624075824483 -6.480288304358055 22.904585525191024 3276.4177377633914 222.60379206222638 20 18 18 13.053090000001248 36 True False SwJ1644+57 251.2080470833333 57.58324702777778 TDE 0.354 3 True False False True False True True True SFD -200 90 50 70 1 full 40 0.1 0.55 0.37 0.75 2 4 True 1.0 False True True i r 20 False False """""" 60.0 16.0 0.01 1.0 1.0 0.1 251.2080470833333 57.58324702777778 ZTF SwJ1644+57 SwJ1644+57 """""" """""" """""" 0.8966838464679938 1.3378614776332398 1.0000616853100794 1.1079377509219483 1.3378614776332398 1.5878795213118053 82.83978452227211 82.83978452227211 -69.78669452227086 -69.78669452227086 55662.11771 55649.07443 22.436666189479727 23.414331772207632 22.878486003284273 12.70701875699479 0.7047868469460237 0.031762496311491806 251.20803637 57.58324033 0.010643413664627177 22.650261120367052 23.584166246199608 23.45346562770009 0.11666666666666665 """""" """""" """""" """""" 0 False True all True False 0 0.7047868469460237 0.031762496311491806 251.20803637 57.58324033 0.010643413664627177 22.650261120367052 23.584166246199608 23.45346562770009 0.11666666666666665 True False 0.3 0.7 1.5 0.02 8 3 13.043279999998049 0.031762496311491806 0.7047868469460237 0.13070061849951742 0.04506681197176818 0.16983447399197615 0.5749796244158176 False 0.354 Inputed -18.232976144589685 -17.697130375666326 1.2194690265486725 1.1964968314016686 2.2 0.7483314773547882 1.8 0.7483314773547883 4.300112713107247 2.0917492086710787 10.0 3.9496835316262997 6.4 1.3564659966250538 0.6 0.7999999999999999 5.8 1.939071942966532 2.4 1.7435595774162693 65.71029790728826 3.206488984989575 34.8 3.48711915483254 42.8 2.481934729198171 9.565912332553026 2.4038836050714094 6.4 2.0591260281974 10.8 1.9390719429665317 3.24831306909086 2.1237445352508737 14.6 4.800000000000001 9.8 2.7129319932501077 2.05 1.1 1.4 1.019803902718557 4.2 2.7129319932501077 13.305894951411915 1.4502597221175189 24.8 4.749736834815166 21.2 2.1354156504062622 0.0 0.0 0.0 0.0 0.4 0.8 0.0 0.0 0.0 0.0 0.2 0.4 """""" """""" """"""
-0.033426686702706154 0.2669902144080212 7.449172138664212 16.394323602238938 4399.73196141985 1010.9327177948109 685 41 41 49.98215970020101 61 True True 2021ehb 46.9492777 40.3112356 TDE 0.017 3 True False False True False True True True SFD -200 90 50 70 1 full 40 0.1 0.55 0.37 0.75 2 4 True 1.0 False True True i r 20 False False """""" 60.0 16.0 0.01 1.0 1.0 0.1 46.9492777 40.3112356 TNS 2021ehb """""" 2021ehb TDE 0.017 0.25877347784870963 0.3244180351374588 0.2749380599868516 0.2912661838178465 0.3244180351374588 0.3582390913381417 87.82328269092733 87.82328269092733 -37.84112299072632 -37.84112299072632 59306.024452 59265.156 16.179501397043385 17.31792039727082 16.9320545166693 461.5582687310292 3.94923887594859 0.39309215236605155 46.94926478864985 40.311344347497 0.00056796384896729 14.24806864930153 15.29048026468277 14.58656799302101 0.9450000000000001 """""" """""" """""" """""" 0 False True all True False 0 3.94923887594859 0.39309215236605155 46.94926478864985 40.311344347497 0.00056796384896729 14.24806864930153 15.29048026468277 14.58656799302101 0.9450000000000001 True False 0.3 0.7 1.5 0.02 8 3 40.86845199999516 0.39309215236605155 3.94923887594859 0.7039122716617605 0.09953618018905795 -2.027440132588051 -2.3454865236482902 False 0.017 Inputed -17.462274708275388 -17.076408827673866 79.8419077740001 3.896094688038438 43.0 3.3466401061363023 19.6 4.586937976471886 0.0 0.0 0.2 0.4 0.6 0.7999999999999999 0.3206410265178204 0.4255401631214218 0.0 0.0 2.0 0.6324555320336759 2.2690989325295403 1.631591356209461 38.8 5.2687759489277965 30.2 7.984985911070852 0.06688114387846292 0.13322674212823213 1.2 1.1661903789690602 0.4 0.48989794855663565 11.209725893723409 3.2154452082953755 10.2 2.56124969497314 31.4 4.029888335921977 2.62598658426795 1.3485709565366695 5.0 2.1908902300206643 6.6 2.1540659228538015 1.347569904817782 0.9477538753999968 1.2 0.7483314773547883 1.8 1.32664991614216 1.8449465720220648 0.733430698891235 0.2 0.4 0.6 0.48989794855663565 0.47324216824287396 0.4984987147581576 0.2 0.4000000000000001 6.8 2.227105745132009 """""" """""" """"""
